2025-04-24 09:06:09 | INFO     | root         | Logging initialized.
2025-04-24 09:06:09 | INFO     | __main__     | Running initial model encryption check...
2025-04-24 09:06:09 | INFO     | __main__     | Found original model at: G:\semester 6\IS\project\models\mnist_cnn_defended_adv_train.keras
2025-04-24 09:06:09 | WARNING  | __main__     | Encrypted model not found at: G:\semester 6\IS\project\models\mnist_cnn_defended_adv_train.keras.enc
2025-04-24 09:06:09 | INFO     | __main__     | Attempting initial encryption...
2025-04-24 09:06:09 | INFO     | __main__     | Attempting to encrypt model from mnist_cnn_defended_adv_train.keras to mnist_cnn_defended_adv_train.keras.enc
2025-04-24 09:06:09 | INFO     | __main__     | Model successfully encrypted to mnist_cnn_defended_adv_train.keras.enc
2025-04-24 09:06:09 | INFO     | __main__     | Initial model encryption successful.
2025-04-24 19:48:57 | INFO     | root         | Logging initialized.
2025-04-24 19:48:57 | INFO     | app          | Creating Flask application...
2025-04-24 19:48:57 | INFO     | app          | Flask application created successfully.
2025-04-24 19:48:57 | INFO     | __main__     | Starting Flask development server...
2025-04-24 19:48:58 | INFO     | root         | Logging initialized.
2025-04-24 19:48:58 | INFO     | app          | Creating Flask application...
2025-04-24 19:48:58 | INFO     | app          | Flask application created successfully.
2025-04-24 19:48:58 | INFO     | __main__     | Starting Flask development server...
2025-04-24 19:48:58 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-27 13:17:03 | INFO     | root         | Logging initialized.
2025-04-27 13:17:03 | INFO     | app          | Creating Flask application...
2025-04-27 13:17:03 | INFO     | app          | Flask application created successfully.
2025-04-27 13:17:03 | INFO     | __main__     | Starting Flask development server...
2025-04-27 13:17:11 | INFO     | root         | Logging initialized.
2025-04-27 13:17:11 | INFO     | app          | Creating Flask application...
2025-04-27 13:17:11 | INFO     | app          | Flask application created successfully.
2025-04-27 13:17:11 | INFO     | __main__     | Starting Flask development server...
2025-04-27 13:17:11 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-27 13:19:15 | INFO     | app.routes   | Login attempt received
2025-04-27 13:19:15 | WARNING  | app.routes   | Login failed: Invalid credentials for user 'predictor01'
2025-04-27 13:22:15 | INFO     | root         | Logging initialized.
2025-04-27 13:22:15 | INFO     | app          | Creating Flask application...
2025-04-27 13:22:15 | INFO     | app          | Flask application created successfully.
2025-04-27 13:22:15 | INFO     | __main__     | Starting Flask development server...
2025-04-27 13:22:15 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-27 13:22:16 | INFO     | app.routes   | Login attempt received
2025-04-27 13:22:16 | INFO     | app.auth     | Generated token for user 'predictor01' (Role: predictor). Expires at 2025-04-27 14:22:16
2025-04-27 13:22:16 | INFO     | app.routes   | Login successful for user 'predictor01'
